_id,timestamp,temperature,co2Level,light,uvLevel,humidity,__v
671addf22fd2cc2de1b8f1af,2024-10-24T22:53:25.734Z,24,57,5,0,48,0
671addf22fd2cc2de1b8f1b0,2024-10-24T22:53:34.816Z,24.1,58,5,0,47,0
671addf22fd2cc2de1b8f1b1,2024-10-24T22:53:45.432Z,24.1,58,5,0,47,0
671addf22fd2cc2de1b8f1b2,2024-10-24T22:53:54.530Z,24.2,51,5,0,47,0
671addf22fd2cc2de1b8f1b3,2024-10-24T22:54:05.119Z,24.3,57,5,0,47,0
671addf22fd2cc2de1b8f1b4,2024-10-24T22:54:15.743Z,24.3,58,6,0,47,0
671addf22fd2cc2de1b8f1b5,2024-10-24T22:54:24.853Z,24.3,50,5,0,47,0
671addf22fd2cc2de1b8f1b6,2024-10-24T22:54:35.444Z,24.4,57,5,0,47,0
671addf22fd2cc2de1b8f1b7,2024-10-24T22:54:44.530Z,24.4,57,6,0,47,0
671addf22fd2cc2de1b8f1b8,2024-10-24T22:54:55.184Z,24.5,51,5,0,46,0
671addf22fd2cc2de1b8f1b9,2024-10-24T22:55:05.746Z,24.5,57,5,0,46,0
671addf22fd2cc2de1b8f1ba,2024-10-24T22:55:14.834Z,24.5,57,4,0,46,0
671addf22fd2cc2de1b8f1bb,2024-10-24T22:55:25.461Z,24.5,51,5,0,46,0
671addf22fd2cc2de1b8f1bc,2024-10-24T22:55:34.576Z,24.5,56,6,0,46,0
671addf22fd2cc2de1b8f1bd,2024-10-24T22:55:45.153Z,24.5,57,5,0,46,0
671addf22fd2cc2de1b8f1be,2024-10-24T22:55:55.780Z,24.5,50,6,0,46,0
671addf22fd2cc2de1b8f1bf,2024-10-24T22:56:04.878Z,24.5,57,4,0,46,0
671addf22fd2cc2de1b8f1c0,2024-10-24T22:56:15.461Z,24.5,56,0,0,46,0
671addf22fd2cc2de1b8f1c1,2024-10-24T22:56:24.547Z,24.5,49,5,0,46,0
671addf22fd2cc2de1b8f1c2,2024-10-24T22:56:35.169Z,24.5,57,5,0,46,0
