Temperatura (°C),Humedad (%),Nivel de luz (%),Nivel UV,Nivel CO2
23.00,44.00,14.0,0,73
23.00,45.00,14.1,0,72
23.00,45.00,13.6,0,72
23.00,45.00,13.5,0,72
23.00,45.00,13.5,0,72
23.00,45.00,13.6,0,72
23.00,45.00,11.6,0,72
23.00,45.00,14.7,0,72
23.00,45.00,15.2,0,72
23.00,45.00,14.9,0,72
23.00,45.00,14.8,0,72
23.00,45.00,14.8,0,72
23.00,45.00,14.5,0,72
23.00,45.00,14.8,0,72
23.10,45.00,14.4,0,72
23.10,45.00,13.5,0,71
23.10,44.00,14.0,0,72
23.10,44.00,14.1,0,72
23.10,44.00,14.0,0,72
23.10,44.00,13.9,0,72
23.10,44.00,14.4,0,72
23.10,44.00,13.9,0,72
23.10,44.00,14.0,0,72
23.20,44.00,13.9,0,72
23.20,44.00,13.9,0,72
23.20,44.00,13.9,0,72
23.20,44.00,14.1,0,71
23.20,44.00,14.3,0,72
23.20,44.00,14.0,0,72
23.20,44.00,14.0,0,72
23.20,44.00,14.1,0,71
23.20,43.00,14.1,0,72
23.20,43.00,14.0,0,71
23.20,43.00,15.1,0,71
23.20,43.00,15.3,0,72
23.30,43.00,15.9,0,71
23.20,43.00,15.5,0,71
23.30,43.00,15.1,0,71
23.20,43.00,15.2,0,72
23.20,43.00,15.1,0,71
23.20,43.00,15.3,0,72
23.30,43.00,15.7,0,71
23.30,43.00,15.9,0,71
23.30,43.00,15.5,0,72
23.20,43.00,14.4,0,72
23.30,43.00,14.8,0,71
23.30,43.00,17.7,0,72
23.30,43.00,17.6,0,71
23.30,43.00,17.1,0,72
23.30,43.00,17.2,0,72
23.30,43.00,17.5,0,71
23.30,43.00,17.5,0,72
23.30,43.00,17.3,0,72
23.30,43.00,17.3,0,72
23.30,43.00,17.1,0,72
23.30,43.00,17.1,0,71
23.30,43.00,17.1,0,72
23.30,43.00,17.2,0,72
23.30,43.00,17.5,0,71
23.30,43.00,17.5,0,71
23.30,43.00,16.9,0,72
23.30,43.00,17.5,0,72
23.30,43.00,17.2,0,72
23.30,43.00,17.2,0,72
23.30,43.00,17.3,0,72
23.30,43.00,17.9,0,72
23.30,43.00,17.5,0,72
23.30,43.00,17.9,0,71
23.30,43.00,17.9,0,72
23.30,43.00,18.0,0,72
23.30,43.00,17.9,0,72
23.30,43.00,17.9,0,72
23.30,43.00,17.6,0,72
23.30,43.00,17.7,0,72
23.30,43.00,17.6,0,72
23.30,43.00,17.6,0,72
23.30,43.00,15.7,0,71
23.30,43.00,16.7,0,71
23.20,43.00,17.6,0,72
23.30,43.00,17.3,0,72
23.30,43.00,17.5,0,71
23.30,43.00,17.5,0,72
23.30,43.00,17.6,0,72
23.30,43.00,17.5,0,72
23.30,43.00,17.1,0,72
23.30,43.00,17.3,0,72
23.30,43.00,17.5,0,72
23.30,43.00,17.5,0,72
23.30,43.00,15.5,0,71
23.30,43.00,17.1,0,71
23.30,43.00,16.3,0,72
23.30,43.00,16.8,0,71
23.30,43.00,16.5,0,71
23.30,43.00,16.1,0,72
23.30,43.00,16.8,0,71
23.30,43.00,16.5,0,72
23.20,43.00,16.7,0,71
23.30,43.00,16.7,0,71
23.30,43.00,16.7,0,72
23.20,43.00,16.5,0,72
23.30,43.00,16.8,0,71
23.20,43.00,16.4,0,71
23.30,43.00,16.7,0,71
23.20,43.00,16.5,0,71
23.30,43.00,20.1,0,72
23.30,43.00,19.3,0,71
